"STAID","N","N_qSC","DATE.B","DATE.E","Model","ALPHA","ECK.OHS.BETA","ECK.CaF.BETA","CS","CBmn","CBamp","sday","CBamp2","RMSE","NS","ACCEPT","Streamflow","BF_Fraction.ECK.CaF","BF_Fraction.ECK.OHS","Days.ECK.CaF","Days.ECK.OHS"
"'03466228'",8514,52,"7/19/1977","11/8/2000","'SCfit'",0.9859,0.9962,0.6915,150,NA,NA,NA,NA,228.2441,0.6848,"Y",13.07,0.6494,0.9667,0.0736,0.518
"'03471500'",31631,16,"10/1/1920","12/3/2017","'SCfit'",0.9825,0.7264,0.5997,90.0174,NA,NA,NA,NA,59.5082,0.7784,"Y",110.706,0.5423,0.6236,0.0848,0.1537
"'03473000'",31476,177,"10/1/1931","12/3/2017","'SCfit'",0.9817,0.7493,0.584,80.5792,NA,NA,NA,NA,240.6025,0.7719,"Y",475.9043,0.5279,0.6347,0.0905,0.1939
"'03488000'",36072,44,"6/1/1907","12/3/2017","'SCfit'",0.9836,0.6955,0.4233,139.6819,NA,NA,NA,NA,190.8178,0.7639,"Y",297.9489,0.3689,0.5239,0.0742,0.2034
"'03490000'",20402,87,"10/1/1931","12/6/2017","'SCfit'",0.98,0.7437,0.4431,820.5753,NA,NA,NA,NA,8341.5199,0.8053,"Y",901.6951,0.3874,0.5679,0.0842,0.2484
"'03491000'",24589,123,"5/1/1941","11/26/2017","'SCfit'",0.973,0.5882,0.4352,286.4768,NA,NA,NA,NA,364.3582,0.5707,"Y",57.4086,0.3868,0.4783,0.0924,0.1826
"'03497300'",19740,234,"10/1/1963","10/18/2017","'SCfit'",0.9895,0.9287,0.4458,12.0312,NA,NA,NA,NA,67.1186,0.3854,"Y",281.0808,0.3909,0.7396,0.0705,0.4345
"'03498500'",24217,119,"7/1/1951","10/18/2017","'SCfit'",0.9864,0.7261,0.4781,79.9098,NA,NA,NA,NA,184.6922,0.6455,"Y",516.2387,0.4239,0.5706,0.0858,0.2234
"'03500000'",26913,30,"4/1/1944","12/6/2017","'SCfit'",0.9851,0.7266,0.7518,18.3482,NA,NA,NA,NA,14.223,0.4613,"Y",376.206,0.7188,0.7001,0.1265,0.1021
"'03500240'",20613,7,"7/1/1961","12/6/2017","'SCfit'",0.9905,0.6025,0.6529,24,NA,NA,NA,NA,9.6699,0.6559,"Y",136.7265,0.612,0.5728,0.0874,0.0652
"'03504000'",28191,16,"10/1/1940","12/6/2017","'SCfit'",0.9905,0.7109,0.6509,13.0562,NA,NA,NA,NA,6.9105,0.3525,"Y",202.6823,0.6037,0.6484,0.0964,0.1333
"'03513500'",13150,8,"10/1/1935","10/1/1971","'sin_cos'",0.9877,0.2162,0.5869,10.0979,10.1442,24.6836,"11/7/1956",10,0.7975,0.8917,"Y",44.8893,0.5344,0.2151,0.0805,4e-04
"'03518500'",26575,118,"8/1/1925","2/5/2018","'SCfit'",0.9841,0.2597,0.5682,20.3063,NA,NA,NA,NA,39.4794,0.539,"Y",276.5151,0.5175,0.258,0.0966,0.0035
"'03527220'",3780,33,"9/19/2007","1/24/2018","'SCfit'",0.9785,0.5457,0.4811,257.4483,NA,NA,NA,NA,186.9798,0.7123,"Y",1614.275,0.4291,0.4691,0.096,0.1336
"'03535000'",16273,83,"10/1/1957","1/18/2018","'SCfit'",0.9756,0.9935,0.4176,17,NA,NA,NA,NA,456.9565,0.4465,"Y",96.7594,0.3649,0.9406,0.09,0.6245
"'03538225'",10622,84,"9/1/1960","9/30/1989","'SCfit'",0.9705,0.8607,0.3797,150.3626,NA,NA,NA,NA,395.0547,0.6308,"Y",164.9756,0.3256,0.6246,0.0999,0.4188
"'03539778'",7597,66,"4/1/1997","1/17/2018","'SCfit'",0.9642,0.8981,0.3376,33,NA,NA,NA,NA,73.3692,0.7946,"Y",297.9033,0.2943,0.6969,0.1455,0.499
"'03544947'",8502,214,"5/25/1984","9/3/2007","'SCfit'",0.993,0.401,0.4504,11.0247,NA,NA,NA,NA,14.0952,0.3675,"Y",5.5267,0.4021,0.3662,0.0507,0.0395
"'03545000'",14731,35,"12/1/1941","3/31/1982","'SCfit'",0.988,0.156,0.693,13.3288,NA,NA,NA,NA,14.5623,0.8758,"Y",139.2531,0.6539,0.1555,0.1068,0
"'03566525'",3620,21,"11/1/2000","9/29/2010","'SCfit'",0.9727,0.4272,0.173,30.9547,NA,NA,NA,NA,38.878,0.7748,"Y",120.5609,0.1502,0.3127,0.0851,0.1978
"'03572110'",7817,97,"5/22/1975","10/14/1996","'SCfit'",0.963,0.721,0.3591,197.4147,NA,NA,NA,NA,264.823,0.5484,"Y",287.5097,0.3108,0.5226,0.1245,0.3537
"'03578000'",19416,92,"12/1/1951","12/12/2017","'sin_cos'",0.9678,0.3212,0.3419,152.6671,247.8017,10,"10/4/1975",42.5922,362.0298,0.5704,"Y",137.4769,0.2941,0.2806,0.1089,0.0991
"'03578500'",7986,25,"12/1/1951","12/12/2017","'SCfit'",0.9641,0.8034,0.5419,246.538,NA,NA,NA,NA,161.3556,0.5597,"Y",64.6851,0.4888,0.6663,0.0969,0.2637
"'03584020'",3163,30,"2/1/2001","9/29/2009","'SCfit'",0.9776,0.1504,0.3326,245.052,NA,NA,NA,NA,172.9397,0.6146,"Y",671.205,0.2889,0.1499,0.0923,0.0098
"'03588400'",9268,63,"8/1/1962","12/15/1987","'sin_cos'",0.9806,0.1352,0.4791,60.9601,104.9823,10,"10/2/1975",20.8985,128.9739,0.3898,"Y",83.318,0.41,0.1352,0.0638,0
"'03592718'",14592,8,"5/17/1973","11/24/2013","'SCfit'",0.9664,0.8995,0.4223,31.8433,NA,NA,NA,NA,9.1331,0.7322,"Y",40.5302,0.353,0.6621,0.071,0.4071
"'03599450'",6067,19,"3/17/1966","10/19/2017","'sin_cos'",0.9718,0.9846,0.2878,241.1039,353.7366,53.8192,"9/4/2003",10,209.8619,0.3764,"Y",102.18,0.2534,0.895,0.1086,0.6647
"'03600500'",12966,75,"9/1/1953","9/30/1989","'SCfit'",0.9786,0.1891,0.4362,152.6171,NA,NA,NA,NA,248.8689,0.3089,"Y",27.6935,0.3704,0.1854,0.0627,0.0055
"'03604000'",35565,252,"6/1/1920","10/16/2017","'SCfit'",0.9793,0.4279,0.5468,75.3817,NA,NA,NA,NA,199.8799,0.3244,"Y",758.324,0.4763,0.3973,0.0752,0.0346
"'04014500'",22798,595,"8/1/1928","9/29/1993","'SCfit'",0.9803,0.9687,0.2597,42.1997,NA,NA,NA,NA,230.7172,0.8252,"Y",170.0718,0.218,0.8706,0.0585,0.4285
"'04015330'",15857,168,"7/1/1974","11/28/2017","'SCfit'",0.9916,0.8936,0.1047,56.921,NA,NA,NA,NA,1576.8614,0.6081,"Y",89.9657,0.0811,0.5179,0.0395,0.3493
"'04024098'",9264,21,"5/24/1976","12/31/2001","'SCfit'",0.9742,0.9488,0.3679,125,NA,NA,NA,NA,110.23,0.7645,"Y",7.2285,0.2898,0.7531,0.0582,0.3235
"'04024430'",16022,217,"11/22/1973","10/3/2017","'SCfit'",0.9825,0.3864,0.3556,137.9957,NA,NA,NA,NA,507.18,0.7483,"Y",386.1127,0.2994,0.3189,0.072,0.081
"'04027000'",28458,2635,"7/31/1914","11/13/2017","'SCfit'",0.9826,0.9453,0.4205,65.8324,NA,NA,NA,NA,895.1143,0.8335,"Y",612.7225,0.3477,0.8114,0.0653,0.343
"'04043150'",5845,1883,"10/1/2001","10/2/2017","'SCfit'",0.9944,0.9961,0.274,33.9667,NA,NA,NA,NA,663.384,0.8495,"Y",80.5042,0.1995,0.933,0.0459,0.5557
"'04045500'",23462,187,"8/7/1953","10/31/2017","'sin_cos'",0.9879,0.3828,0.555,84.5451,198,10,"10/22/1974",27.4532,286.5648,0.7474,"Y",898.4945,0.4748,0.3462,0.0708,0.0364
"'04057800'",21284,19,"6/24/1959","9/30/2017","'SCfit'",0.9972,0.9525,0.2241,41.606,NA,NA,NA,NA,34.0685,0.8403,"Y",55.8158,0.1713,0.6686,0.0209,0.2827
"'04059500'",23044,3170,"10/1/1954","11/2/2017","'SCfit'",0.9913,0.9811,0.2867,208.2579,NA,NA,NA,NA,1286.5848,0.8262,"Y",359.3438,0.2299,0.9,0.0515,0.4302
"'04063700'",19740,994,"10/1/1963","10/16/2017","'SCfit'",0.9882,0.8931,0.5209,80.3366,NA,NA,NA,NA,813.6339,0.8,"Y",110.5067,0.4523,0.7604,0.0618,0.2423
"'04066500'",27023,35,"2/26/1914","10/22/2017","'sin_cos'",0.9973,0.8649,0.5548,116.059,269,10,"10/27/1966",17.1362,102.8122,0.8826,"Y",210.3056,0.4912,0.6884,0.0242,0.1135
"'04071858'",8767,122,"9/30/1972","9/30/1996","'sin_cos'",0.9884,0.9471,0.1867,427.7593,546.07,110.8776,"10/4/1976",10,1062.9935,0.3168,"Y",92.1031,0.1462,0.7121,0.0526,0.3885
"'04074538'",6083,100,"5/26/1977","9/29/2009","'SCfit'",0.9884,0.8941,0.713,100.1323,NA,NA,NA,NA,259.5211,0.6289,"Y",29.2079,0.6634,0.8098,0.0684,0.196
"'04074950'",18478,91,"3/21/1966","10/22/2017","'SCfit'",0.9886,0.7031,0.7733,115.3303,NA,NA,NA,NA,249.4877,0.6404,"Y",427.5174,0.7223,0.666,0.0732,0.0494
